id,question,answer,category,tags
34,What if there is an error on my certificate name?,Contact support with your correct legal name and order ID. Name changes may require identity verification and are subject to correction windows.,certification,"name,correction"
35,How do I contact technical support?,Use Help and Support from the portal, or email the address listed on the Contact page. Include your user ID, browser, and screenshots if possible.,support,"contact,help"
36,What are your support hours?,General support is typically available on business days with hours posted on the Contact page. Critical platform outages may be communicated by email or banner on the site.,support,"hours"
37,The payment failed but my bank debited money. What should I do?,Wait for automatic reversal per bank rules (often 24 to 72 hours). If the course is not activated and amount is not reversed after five business days, contact support with bank reference number and payment time.,payment,"failed,dispute"
38,Can I pay in installments without EMI?,Structured installment plans may exist only for specific corporate or scholarship programs. Check the course page or ask sales.,payment,"installment"
39,Is GST included in the displayed fee?,Course pages state whether fees are inclusive or exclusive of GST. The checkout page breaks down taxes before you pay.,payment,"gst,tax"
40,Do you offer discounts for students?,Promotional discounts appear on the website or email campaigns. Eligibility rules apply. We do not guarantee ongoing discounts for all courses.,payment,"discount"
41,Can organizations buy seats in bulk?,Yes. Corporate or bulk enrollment is available through our business team. Use the Contact sales or Enterprise form on the website.,enrollment,"corporate,bulk"
42,How do I join a live session?,Log in five minutes before start time. Open the course and click Join live class. Use the link only from within your enrolled course.,technical,"live,join"
43,What if I am disconnected during a live class?,Rejoin using the same link from your course page. If the session ended, watch the recording when available.,technical,"live,network"
44,Can I use a mobile phone for classes?,Mobile browsers may work for some sessions but a desktop or laptop is recommended for labs and screen sharing.,technical,"mobile,browser"
45,Is there a mobile app?,If EmpowerTech offers an official app, download links are on the website. Always verify the developer name before installing.,technical,"app"
46,How do I report inappropriate chat or behavior in class?,Use Report or contact your instructor and support immediately with session time and details.,support,"conduct,safety"
47,Where is the code of conduct?,The learner code of conduct is linked from the course handbook and Terms of service on the website.,policy,"conduct,terms"
48,Can I get a partial refund if I drop mid-course?,Partial refunds after the refund window are generally not offered unless required by promotion terms or law. Ask support with your specific batch and date.,policy,"refund,partial"
49,How do I unsubscribe from marketing emails?,Click Unsubscribe at the bottom of any marketing email or change preferences under Account notifications.,account,"email,privacy"
50,How is my personal data used?,We use account and learning data to deliver services, improve the platform, and send important notices. Marketing uses consent where required. See the Privacy policy for details.,policy,"privacy,data"
51,Can I delete my account?,Account deletion may be requested through support. Some records may be retained for legal or financial reasons as described in the Privacy policy.,account,"delete,privacy"
52,What languages are courses in?,Most public courses are in English unless the course page lists another language.,course,"language"
53,Do you offer career placement?,Placement assistance may be offered only for select programs and is described on the respective course page. It is not a guarantee of employment.,course,"placement,career"
54,How do I submit assignments?,Open the assignment in your module and use Upload or the integrated editor before the deadline shown.,course,"assignment,homework"
55,What happens if I miss an assignment deadline?,Late submission rules are set per course. Some allow late submission with penalty; others do not. Check the syllabus.,course,"deadline,assignment"
56,How are quizzes graded?,Most quizzes are auto-graded where applicable. Manual grading may apply for open-ended questions with results posted within the stated timeline.,course,"quiz,grade"
57,Can I retake a quiz?,Retry rules are defined by the instructor in the course settings. Some quizzes allow multiple attempts; others do not.,course,"quiz,retry"
58,Where can I ask doubts to the instructor?,Use the course Discussion forum or Q&A area. Live sessions may include a dedicated doubt slot.,course,"doubt,instructor"
59,How do I access practice datasets for labs?,Lab datasets are attached in the module or linked from the lab instructions page.,course,"lab,dataset"
60,What if lab software will not install?,Check system requirements in the lab guide. Run as administrator where appropriate. For company laptops, ask IT to whitelist the installer. Contact support with the error message.,technical,"lab,install"
61,Does EmpowerTech provide job references?,We may provide a completion or participation letter for programs that include such benefits. General references depend on program policy stated at enrollment.,course,"reference,job"
62,What is the difference between self-paced and instructor-led?,Self-paced lets you learn on your own timeline within access limits. Instructor-led follows a fixed schedule with live sessions.,course,"self-paced,live"
63,Can I pause my enrollment?,Pause or deferral may be available only for specific programs and by approval. Contact support before the stated deadline.,enrollment,"pause,defer"
64,What if a course is cancelled by EmpowerTech?,You will be notified by email. Options typically include a full refund or transfer to another batch or course of equal value as offered.,policy,"cancellation,course"
65,How do I update my billing address for invoices?,In Account settings under Billing or Tax details add or edit your address before your next payment.,payment,"invoice,address"
66,Do you accept international cards?,International cards may work through our gateway depending on issuer and region. If payment fails, try another card or UPI where applicable.,payment,"international"
67,What is the refund window for a typical cohort batch?,The refund window is published on the course page and in checkout. Commonly it is within the first few days after batch start for eligible courses—always confirm your specific batch terms.,policy,"refund,window"
68,How do I verify a certificate authenticity?,Employers can use the verification link or code printed on the certificate PDF when verification service is enabled for your program.,certification,"verify,authentic"
69,Can I extend access to course videos after the batch ends?,Extension may be purchasable or granted only for certain programs. Ask support before your access end date.,course,"extension,access"
70,What file types are accepted for assignment upload?,Unless specified otherwise, PDF and common document and image formats are accepted. Maximum file size limits appear on the upload page.,course,"upload,assignment"
71,How do I enable two-factor authentication?,If available, go to Account security and follow steps to add an authenticator app or SMS OTP.,account,"2fa,security"
72,I think someone accessed my account. What should I do?,Change your password immediately, enable 2FA if available, and contact support to review recent logins.,account,"security,breach"
73,Where are terms and conditions for enrollment?,Terms of use and learner agreement are linked at checkout and in the website footer.,policy,"terms,legal"
74,Does the platform work on Linux?,Many features work on modern Linux browsers. Some proctored tools may require Windows or Mac—check exam or assessment instructions.,technical,"linux,os"
75,What webcam is recommended for proctored exams?,Use a clear built-in or USB webcam with adequate lighting. Requirements are listed in the assessment guide before the exam.,technical,"exam,proctor"
76,How do I get a duplicate invoice?,From Order history download again or request a copy from support with your order ID.,payment,"invoice,duplicate"
77,Can parents pay on behalf of a learner?,Yes if they use their own payment method and the learner account is correctly linked at enrollment.,payment,"parent,pay"
78,Are scholarships available?,Scholarships when offered are announced on the website or partner channels with eligibility criteria.,payment,"scholarship"
79,How do I join the alumni community?,After eligible completion, invitations may be sent by email or linked from the certificate page where an alumni program exists.,community,"alumni"
80,What if the instructor reschedules a class?,You will be notified by email and in-course announcement. Updated times appear on your schedule.,course,"reschedule,announcement"
81,How do I give feedback on a course?,Course feedback forms may appear after modules or at the end. You can also email support with course name and constructive feedback.,support,"feedback"
82,Are sessions recorded in my voice?,Only hosts or instructors typically record. If you speak on mic, assume the session recording may include audio as per policy notice.,course,"recording,privacy"
83,Can I download all videos for offline use?,Offline download is allowed only if the course explicitly enables download. Otherwise streaming only is permitted to protect content.,course,"download,video"
84,How do I report a bug on the website?,Use Report a problem from the help menu or email support with steps to reproduce and your browser version.,technical,"bug,website"
85,What timezone are class times shown in?,Default is often India Standard Time unless you change timezone in profile or the schedule clarifies.,course,"timezone"
86,How do I merge duplicate accounts?,Contact support with both email addresses and proof of identity. Self-merge may not be available.,account,"duplicate,merge"
87,Can I get a syllabus before enrolling?,A high-level outline is on the course page. Detailed week-wise syllabus may be available after enrollment for some programs.,course,"syllabus"
88,What if I need extra time for assessments due to disability?,Contact accessibility support before your assessment with documentation where applicable so reasonable accommodations can be reviewed.,policy,"accessibility,exam"
89,How do I opt in for WhatsApp or SMS updates?,Manage notification preferences under Account settings. Message frequency follows consent and carrier rules.,account,"sms,whatsapp"
90,What is the policy on sharing login credentials?,Sharing accounts violates terms and may lead to suspension. Each learner must use their own login.,policy,"account,sharing"
91,How do I join a study group?,If your course offers cohort groups or Discord links, they appear in announcements or the community tab.,community,"study,group"
92,Can I get a tax invoice with my GST number?,During checkout or in billing settings enter GST details where prompted. Invoices will show as per entered information.,payment,"gst,invoice"
93,What happens if I exceed login attempts?,Your account may be temporarily locked. Wait for the cooldown period or reset password via Forgot password.,account,"lockout,login"
94,How do I leave a course I no longer want?,Dropping a course may follow a formal withdrawal process. Refunds depend on timing and policy—contact support.,enrollment,"withdraw,drop"
95,Where can I read about academic integrity?,Academic integrity and plagiarism policies are in the course handbook or terms linked from your dashboard.,policy,"integrity,plagiarism"
96,Does EmpowerTech offer Python bootcamps?,Course offerings change. Search the catalog for Python or data science bootcamps or subscribe to updates.,course,"python,bootcamp"
97,How do I prepare for the first day of class?,Complete profile setup, test your audio and video, download any prerequisite software listed in the welcome email, and read week one materials.,course,"onboarding"
98,What should I do if the payment page shows an error?,Do not refresh repeatedly. Note the error code, try another browser, clear cache, or use another payment method. Contact support with screenshots if unresolved.,payment,"error,checkout"
99,Are there community guidelines for discussion forums?,Yes. Be respectful, no harassment, no sharing paid materials publicly, and stay on topic per forum rules.,community,"forum,conduct"
100,How do I stay updated on new courses?,Subscribe to the newsletter on the homepage or follow our official social channels listed on the Contact page.,news,"subscribe,catalog"
101,Can I request a mentor for career questions?,Mentorship may be part of select premium programs only. See program page or ask enrollment advisors.,course,"mentor,career"
102,What is the policy on copying course materials?,Materials are for personal learning only. Redistribution or resale is prohibited without written permission.,policy,"copyright,materials"
103,How do I report a payment charged twice?,Contact support immediately with both transaction references from your bank statement and order IDs.,payment,"double,charge"
104,Where is the student handbook?,The handbook link is in your course dashboard under Resources or Policies, or linked from the welcome module.,course,"handbook"
105,How do I confirm my seat is reserved?,After successful payment your dashboard shows the course as Enrolled and you receive confirmation email.,enrollment,"confirmation"
106,What is early bird pricing?,Some courses offer a lower fee until a published date. After that date standard pricing applies.,payment,"pricing,promo"
107,Can I switch from one course to another after payment?,Course switches are not automatic. Contact support before the batch starts; fees difference or admin charges may apply.,enrollment,"switch,course"
108,What if my certificate PDF is corrupted?,Re-download from the Certificates page or request a fresh link from support.,certification,"download,error"
109,How do I white-label or license content for my company?,Enterprise licensing is handled by our partnerships team. Use the Contact enterprise form.,business,"enterprise,license"
110,What is RAG in the context of this help chat?,EmpowerTech support answers using trusted knowledge sources such as FAQs and policies. If information is not in the knowledge base, you will be offered a human advisor option.,technical,"rag,how-it-works"
